nr,book,folder,chapters,Size (Bytes),Length (Seconds),Length (min),Length (hours),kbits/s,date,%
1,Genesis,01_Ge,50,"130,663,633","16,092",268,4.47,63,,
2,Exodus,02_Ex,40,"103,623,806","12,761",213,3.54,63,,
3,Leviticus,03_Le,27,"72,524,391","8,927",149,2.48,63,,
4,Numbers,04_Nu,36,"103,267,225","12,721",212,3.53,63,,
5,Deuteronomy,05_De,34,"87,427,502","10,747",179,2.99,64,,
6,Joshua,06_Jos,24,"56,807,750","6,980",116,1.94,64,,
7,Judges,07_Jg,21,"59,701,108","7,356",123,2.04,63,,
8,Ruth,08_Ru,4,"8,858,805","1,088",18,0.30,64,,
9,1 Samuel,09_1Sa,31,"78,878,308","9,701",162,2.69,64,,
10,2 Samuel,10_2Sa,24,"64,466,741","7,936",132,2.20,63,,
11,1 Kings,11_1Ki,22,"78,765,482","9,732",162,2.70,63,,
12,2 Kings,12_2Ki,25,"75,483,449","9,307",155,2.59,63,,
13,1 Chronicles,13_1Ch,29,"71,406,860","8,772",146,2.44,64,,
14,2 Chronicles,14_2Ch,36,"83,961,239","10,303",172,2.86,64,,
15,Ezra,15_Ezr,10,"24,177,357","2,973",50,0.83,64,,
16,Nehemiah,16_Ne,13,"24,763,741","4,044",67,1.12,48,,
17,Esther,17_Es,10,"13,001,433","2,105",35,0.58,48,,
18,Job,18_Job,42,"51,848,679","8,384",140,2.33,48,,
19,Psalms,19_Ps,150,"139,508,015","22,289",371,6.19,49,,
20,Proverbs,20_Pr,31,"48,388,136","7,862",131,2.18,48,,
21,Ecclesiastes,21_Ec,12,"15,719,718","2,541",42,0.71,48,,
22,Song of Solomon,22_Ca,8,"8,067,916","1,290",21,0.36,49,,
23,Isaiah,23_Isa,66,"99,733,587","16,210",270,4.50,48,,
24,Jeremiah,24_Jer,52,"106,171,687","17,361",289,4.82,48,,
25,Lamentations,25_La,5,"9,761,100","1,594",27,0.44,48,,
26,Ezekiel,26_Eze,48,"92,339,772","15,087",251,4.19,48,,
27,Daniel,27_Da,12,"31,255,234","5,135",86,1.43,48,,
28,Hosea,28_Ho,14,"14,629,875","2,352",39,0.65,49,,
29,Joel,29_Joe,3,"5,331,017",870,15,0.24,48,,
30,Amos,30_Am,9,"11,065,773","1,789",30,0.50,48,,
31,Obadiah,31_Ob,1,"1,791,846",292,5,0.08,48,,
32,Jonah,32_Jon,4,"4,485,331",542,9,0.15,65,,
33,Micah,33_Mic,7,"10,167,538","1,651",28,0.46,48,,
34,Nahum,34_Na,3,"4,255,397",691,12,0.19,48,,
35,Habakkuk,35_Hab,3,"4,061,564",658,11,0.18,48,,
36,Zephaniah,36_Zep,3,"4,388,793",712,12,0.20,48,,
37,Haggai,37_Hag,2,"2,834,221",460,8,0.13,48,,
38,Zechariah,38_Zec,14,"16,188,827","2,608",43,0.72,48,,
39,Malachi,39_Mal,4,"4,824,739",779,13,0.22,48,,
40,Matthew,40_Mt,28,"62,561,253","10,248",171,2.85,48,,
41,Mark,41_Mr,16,"42,550,899","6,993",117,1.94,48,,
42,Luke,42_Lu,24,"68,342,700","11,244",187,3.12,47,,
43,John,43_Joh,21,"52,239,783","8,578",143,2.38,48,,
44,Acts,44_Ac,28,"61,972,145","10,156",169,2.82,48,,
45,Romans,45_Ro,16,"25,894,355","4,214",70,1.17,48,,
46,1 Corinthians,46_1Co,16,"25,495,109","4,143",69,1.15,48,,
47,2 Corinthians,47_2Co,13,"16,453,760","2,656",44,0.74,48,,
48,Galatians,48_Ga,6,"9,153,829","1,487",25,0.41,48,,
49,Ephesians,49_Eph,6,"8,591,467","1,393",23,0.39,48,,
50,Philippians,50_Php,4,"6,089,689",989,16,0.27,48,,
51,Colossians,51_Col,4,"5,612,512",909,15,0.25,48,,
52,1 Thessalonians,52_1Th,5,"5,152,869",825,14,0.23,49,,
53,2 Thessalonians,53_2Th,3,"2,916,945",466,8,0.13,49,,
54,1 Timothy,54_1Ti,6,"6,892,906","1,111",19,0.31,48,,
55,2 Timothy,55_2Ti,4,"4,821,413",778,13,0.22,48,,
56,Titus,56_Tit,3,"2,876,595",461,8,0.13,49,,
57,Philemon,57_Phm,1,"1,186,756",192,3,0.05,48,,
58,Hebrews,58_Heb,13,"18,641,887","3,024",50,0.84,48,,
59,James,59_Jas,5,"6,964,179","1,130",19,0.31,48,,
60,1 Peter,60_1Pe,5,"6,948,537","1,127",19,0.31,48,,
61,2 Peter,61_2Pe,3,"4,349,411",706,12,0.20,48,,
62,1 John,62_1Jo,5,"7,767,612","1,264",21,0.35,48,,
63,2 John,63_2Jo,1,"923,094",148,2,0.04,49,,
64,3 John,64_3Jo,1,"1,003,788",161,3,0.04,49,,
65,Jude,65_Jude,1,"1,929,594",316,5,0.09,48,,
66,Revelation,66_Re,22,"35,065,053","5,701",95,1.58,48,,
99,sum,bible_en,1189,"2,316,995,735","333,123",5552,92.53,54,,
,,,,,,,,,,
,,,827,,,,,,2020-06-04,70%
,,,1189,,,,,,2024-10-30,100%